feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins
UNPROTECTED_STAIRCASE.MAX_EVACUATION_HEIGHT,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
STEEL_PLATE.WIDTH,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
STAIRCASE.EVACUATION.HEIGHT,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
BEAM.WIDTH,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
TABLE.C3.COLUMN3.BMIN,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
FIRE.RESISTANCE,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,2,True,"[(None, 90.0), (90.0, None)]"
TIMBER_PIECE.WIDTH,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,0,False,[]
SLAB.FIRE_RESISTANCE,149.33126230693634,0.0,149.33126230693634,0.25,597.3250492277454,3,True,"[(None, 90.0), (90.0, 120.0), (120.0, None)]"
BUILDING.USAGE,149.33126230693634,139.20091320546402,10.13034910147232,0.25,40.52139640588928,30,False,"['ADMINISTRATIVE', 'AUDITORIUM', 'CINEMA', 'COMMERCIAL', 'EDUCATION', 'EDUCATION.INFANT', 'EDUCATION.PRIMARY', 'HEALTH.OUTPATIENT', 'HOSPITAL', 'PARKING', 'PARKING.EXCLUSIVE', 'PUBLIC.ASSEMBLY', 'PUBLIC.ASSEMBLY.AUDITORIUM', 'PUBLIC.ASSEMBLY.CINEMA', 'PUBLIC.ASSEMBLY.DISCO', 'PUBLIC.ASSEMBLY.SPORTS_VENUE', 'PUBLIC.ASSEMBLY.THEATER', 'PUBLIC.COMMERCIAL', 'PUBLIC.CONGRESS', 'PUBLIC.EDUCATION', 'PUBLIC.HOSPITAL', 'PUBLIC.HOTEL', 'PUBLIC.RESIDENTIAL', 'RESIDENTIAL.HOUSING', 'RESIDENTIAL.HOUSING.SINGLE_FAMILY', 'SPORTS_HALL', 'STORAGE', 'THEATER', 'TRANSPORT.TERMINAL', 'WELFARE.OUTPATIENT']"
STAIRCASE.TYPE,149.33126230693634,142.10767877388224,7.2235835330540965,0.25,28.894334132216386,4,False,"['EVACUATION.ASCENDING', 'EVACUATION.DESCENDING', 'PROTECTED', 'SPECIALLY_PROTECTED']"
BUILDING.EVACUATION.HEIGHT,149.33126230693634,143.6117557292104,5.7195065777259515,0.25,22.878026310903806,8,True,"[(None, 10.0), (10.0, 14.0), (14.0, 15.0), (15.0, 24.0), (24.0, 28.0), (28.0, 50.0), (50.0, 80.0), (80.0, None)]"
PARKING.TYPE,149.33126230693634,143.7650042385132,5.566258068423139,0.25,22.265032273692555,4,False,"['AUTOMATED', 'CONVENTIONAL', 'ROBOTIC', 'ROBOTIZED']"
AREA.USAGE,149.33126230693634,144.97059598747478,4.360666319461558,0.25,17.44266527784623,31,False,"['ADMINISTRATIVE', 'ARCHIVE', 'COMMERCIAL', 'FLOOR_TOILETS', 'INDUSTRIAL', 'OCCASIONAL_MAINTENANCE_ACCESS', 'OFFICE.DOCUMENT_ARCHIVE', 'PARKING', 'PUBLIC', 'PUBLIC.ART_GALLERY', 'PUBLIC.CHANGING_ROOM', 'PUBLIC.COMMERCIAL.BAR_SEATED', 'PUBLIC.COMMERCIAL.BAR_SERVICE', 'PUBLIC.COMMERCIAL.CAFE_SEATED', 'PUBLIC.COMMERCIAL.CAFE_SERVICE', 'PUBLIC.COMMERCIAL.FAST_FOOD_RESTAURANT', 'PUBLIC.COMMERCIAL.RESTAURANT_SEATED', 'PUBLIC.COMMERCIAL.RESTAURANT_SERVICE', 'PUBLIC.COMMERCIAL.SALES', 'PUBLIC.DRESSING_ROOM', 'PUBLIC.FAIR_EXHIBITION', 'PUBLIC.LIBRARY.READING_ROOM', 'PUBLIC.LOBBY', 'PUBLIC.MULTI_PURPOSE_HALL', 'PUBLIC.MUSEUM', 'PUBLIC.SWIMMING_POOL.BATHING_AREA', 'PUBLIC.SWIMMING_POOL.CHANGING_ROOM', 'PUBLIC.SWIMMING_POOL.OUTDOOR_RESTING_AREA', 'PUBLIC.TRANSPORT.TERMINAL', 'PUBLIC.WAITING_ROOM', 'STORAGE']"
SPACE.TYPE,149.33126230693634,145.00078280054413,4.330479506392209,0.25,17.321918025568834,2,False,"['OCCUPIED', 'SAFE_OUTDOOR_SPACE']"
