feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
WOOD.PIECE.WIDTH,103.20674216000988,0.0,103.20674216000988,0.25,412.8269686400395,0,False,[],0.0,0.0,N/A
STAIRCASE.UNPROTECTED.MAX_HEIGHT_ALLOWED,103.20674216000988,0.0,103.20674216000988,0.25,412.8269686400395,0,False,[],0.0,0.0,N/A
ZONE.INTENDED_USAGE,103.20674216000988,0.0,103.20674216000988,0.25,412.8269686400395,0,False,[],0.0,0.0,N/A
STEEL.PLATE.WIDTH,103.20674216000988,0.0,103.20674216000988,0.25,412.8269686400395,0,False,[],0.0,0.0,N/A
BUILDING.MAIN_USAGE,103.20674216000988,0.0,103.20674216000988,0.25,412.8269686400395,0,False,[],0.0,0.0,N/A
BUILDING.USAGE,103.20674216000988,90.98643542364235,12.220306736367533,0.25,48.88122694547013,13,False,"['ADMINISTRATIVE', 'COMMERCIAL', 'EDUCATION', 'OUTPATIENT_HEALTHCARE_CENTER', 'PARKING', 'PUBLIC.ASSEMBLY', 'PUBLIC.COMMERCIAL', 'PUBLIC.EDUCATION', 'PUBLIC.HOSPITAL', 'PUBLIC.RESIDENTIAL', 'RESIDENTIAL.HOUSING', 'RESIDENTIAL.SINGLE_FAMILY', 'TRANSPORT.TERMINAL']",0.19950738916256158,0.1843501326259947,COMMERCIAL
STAIRCASE.TYPE,103.20674216000988,93.50007019777541,9.706671962234466,0.25,38.826687848937866,5,False,"['DOUBLE_FLIGHT', 'EVACUATION.DOWNWARD', 'EVACUATION.UPWARD', 'PROTECTED', 'SPECIALLY_PROTECTED']",0.09113300492610837,0.07339901477832513,DOUBLE_FLIGHT
RISK_LEVEL,103.20674216000988,93.99328869904994,9.21345346095994,0.25,36.85381384383976,3,False,"['HIGH', 'LOW', 'MEDIUM']",0.017241379310344827,0.015599343185550082,LOW
AREA.USAGE,103.20674216000988,98.71700489429833,4.489737265711554,0.25,17.958949062846216,3,False,"['OUTPATIENT_HEALTHCARE', 'PARKING', 'PUBLIC.COMMERCIAL']",0.009852216748768473,0.006568144499178982,OUTPATIENT_HEALTHCARE
PARKING.TYPE,103.20674216000988,100.11068725607903,3.096054903930849,0.25,12.384219615723396,5,False,"['AUTOMATED', 'CONVENTIONAL', 'OPEN', 'ROBOTIC', 'ROBOTIZED']",0.019704433497536946,0.017733990147783252,AUTOMATED
ZONE.TYPE,103.20674216000988,100.1965337917679,3.010208368241976,0.25,12.040833472967904,2,False,"['REFUGE_AREA', 'ZERO_OCCUPANCY_ZONE']",0.007389162561576354,0.0049261083743842365,ZERO_OCCUPANCY_ZONE
FIRE_SECTOR.USAGE,103.20674216000988,100.28098411119248,2.9257580488174,0.25,11.7030321952696,9,False,"['ADMINISTRATIVE', 'COMMERCIAL', 'EDUCATION', 'MINIMUM_RISK', 'PARKING', 'PUBLIC.ASSEMBLY', 'PUBLIC.HOSPITAL', 'PUBLIC.RESIDENTIAL', 'RESIDENTIAL.HOUSING']",0.009852216748768473,0.009578544061302683,ADMINISTRATIVE
STAIR.TYPE,103.20674216000988,100.42220613375697,2.7845360262529084,0.25,11.138144105011634,3,False,"['OPEN_TO_EXTERIOR_STAIR', 'PROTECTED', 'UNPROTECTED']",0.0049261083743842365,0.0049261083743842365,OPEN_TO_EXTERIOR_STAIR
BUILDING.AREA.BUILT,103.20674216000988,100.5365077199806,2.670234440029276,0.25,10.680937760117104,4,True,"[(None, 500.0), (500.0, 1000.0), (1000.0, 2000.0), (2000.0, None)]",0.007389162561576354,0.003694581280788177,≤500.0
CORRIDOR.TYPE,103.20674216000988,100.54531054380475,2.6614316162051352,0.25,10.645726464820541,2,False,"['PROTECTED', 'STEPPED']",0.009852216748768473,0.006157635467980296,STEPPED
STORAGE.FIRE.LOAD_DENSITY_CORRECTED,103.20674216000988,100.7316362820032,2.475105878006687,0.25,9.900423512026748,4,True,"[(None, 425.0), (425.0, 850.0), (850.0, 3400.0), (3400.0, None)]",0.007389162561576354,0.005541871921182266,≤425.0
TIMBER.STRUCTURE.FASTENER.TYPE,103.20674216000988,101.2021684138661,2.0045737461437767,0.25,8.018294984575107,5,False,"['BOLTS', 'CONNECTORS', 'LAG_SCREWS', 'NAILS', 'PINS']",0.0024630541871921183,0.0024630541871921183,BOLTS
SLAB.TYPE,103.20674216000988,101.2923105896082,1.9144315704016748,0.25,7.657726281606699,3,False,"['CONTINUOUS', 'RIB_BIDIRECTIONAL', 'UNIDIRECTIONAL']",0.017241379310344827,0.013136288998357963,CONTINUOUS
BUILDING.AREA.TOTAL_CONSTRUCTED,103.20674216000988,101.34144848535684,1.8652936746530457,0.25,7.461174698612183,3,True,"[(None, 2000.0), (2000.0, 10000.0), (10000.0, None)]",0.0049261083743842365,0.003284072249589491,≤2000.0
DOOR.TYPE,103.20674216000988,101.3994724509494,1.8072697090604777,0.25,7.229078836241911,4,False,"['EXIT.BUILDING', 'EXIT.FLOOR', 'PEDESTRIAN.AUTOMATIC', 'REVOLVING']",0.007389162561576354,0.005541871921182266,EXIT.BUILDING
BUILDING.EVACUATION.HEIGHT,103.20674216000988,101.40708026096601,1.799661899043869,0.25,7.198647596175476,8,True,"[(None, 10.0), (10.0, 14.0), (14.0, 15.0), (15.0, 24.0), (24.0, 28.0), (28.0, 50.0), (50.0, 80.0), (80.0, None)]",0.014778325123152709,0.0083128078817734,≤10.0
BUILDING.ELEMENT.TYPE,103.20674216000988,101.50063421415695,1.706107945852935,0.25,6.82443178341174,2,False,"['FLAT_BEAM', 'SOLID_SLAB']",0.007389162561576354,0.0049261083743842365,FLAT_BEAM
MATERIAL.TYPE,103.20674216000988,101.68044329604177,1.5262988639681083,0.25,6.105195455872433,6,False,"['BOARD', 'CERAMIC.BRICK', 'CONCRETE.BLOCK', 'INSULATING_MATERIAL', 'SILICO.CALCAREOUS.BRICK', 'STEEL.PRESTRESSING']",0.007389162561576354,0.007389162561576355,BOARD
COATING.TYPE,103.20674216000988,101.73276522762549,1.4739769323843888,0.25,5.895907729537555,5,False,"['GYPSUM.BOARD.TYPE.A', 'GYPSUM.BOARD.TYPE.H', 'GYPSUM.PANEL.TYPE.F', 'SOLID.WOOD.BOARD', 'WOOD.DERIVED.BOARD']",0.0024630541871921183,0.0024630541871921183,GYPSUM.BOARD.TYPE.A
